Life Insurer,Year,Claims pending at start of the period's No.,Claims pending at start of the period's Amt.,Claims intimated / booked No.,Claims pending at start of the period Amt.,Total Claims No.,Total Claims Amt.,Claims paid No.,Claims paid Amt.,Claims Repudiated No.,Claims Repudiated  Amt.,Claims rejected No.,Claims rejected Amt.,Claims Unclaimed No.,Claims Unclaimed Amt.,Claims pending at end of the period No.,Claims pending at end of the period Amt.,Claims Paid Ratio % No.,Claims Paid Ratio % Amt.,Claims Repudiated/ Rejected Ratio % No.,Claims Repudiated/ Rejected Ratio % Amt.,Claims Pending Ratio % No.,Claims Pending Ratio % Amt.
Aditya Birla Life         **,2018-19,23,3.59,8822,205.84,8845,209.43,8817,204.28,13,1.11,0,0,0,0,15,4.04,99.68%,97.54%,0.15%,0.53%,0.17%,1.93%
Aegon,2018-19,0,0,74,6.3,74,6.3,74,6.3,0,0,0,0,0,0,0,0,100.00%,100.00%,0.00%,0.00%,0.00%,0.00%
Aviva,2018-19,0,0,888,16.15,888,16.15,882,16,0,0,6,0.15,0,0,0,0,99.32%,99.07%,0.68%,0.93%,0.00%,0.00%
Bajaj Allianz,2018-19,448,5.49,170885,736.66,171333,742.14,170800,726.26,210,13.42,147,1.53,4,0.03,172,0.91,99.69%,97.86%,0.21%,2.01%,0.10%,0.12%
Bharti Axa ,2018-19,6,3.36,351,36.62,357,39.98,352,38.98,4,0.74,0,0,0,0,1,0.26,98.60%,97.50%,1.12%,1.84%,0.28%,0.66%
Canara HSBC OBC,2018-19,0,0,2485,63,2485,63,2465,59.66,18,2.52,1,0.31,0,0,1,0.5,99.20%,94.71%,0.76%,4.50%,0.04%,0.79%
Edelweiss Tokio,2018-19,0,0,1021,38.39,1021,38.39,1011,37.22,10,1.17,0,0,0,0,0,0,99.02%,96.95%,0.98%,3.05%,0.00%,0.00%
Exide Life,2018-19,0,0,4174,127.44,4174,127.44,4173,127.44,1,0,0,0,0,0,0,0,99.98%,100.00%,0.02%,0.00%,0.00%,0.00%
Future Generali,2018-19,44,7.42,879,64.88,923,72.3,871,66.63,39,2.97,8,2.28,0,0,5,0.41,94.37%,92.16%,5.09%,7.27%,0.54%,0.57%
HDFC Life ,2018-19,321,10.52,163196,954.08,163517,964.6,162383,905.34,610,46.62,0,0,0,0,524,12.64,99.31%,93.86%,0.37%,4.83%,0.32%,1.31%
ICICI Prudential,2018-19,21,0.64,21109,263.26,21130,263.9,19917,247.9,12,2.42,27,1.23,0,0,1174,12.36,94.26%,93.93%,0.18%,1.38%,5.56%,4.68%
Ageas Federal,2018-19,0,0,1241,24.41,1241,24.41,1231,22.19,10,2.21,0,0,0,0,0,0,99.19%,90.93%,0.81%,9.07%,0.00%,0.00%
India First,2018-19,3,0.09,9208,232.59,9211,232.68,8711,217.05,265,10.31,234,4.61,0,0,1,0.72,94.57%,93.28%,5.42%,6.41%,0.01%,0.31%
Kotak Mahindra ,2018-19,6,2.85,53350,515.5,53356,518.34,52875,490.28,305,26.32,0,0,0,0,176,1.74,99.10%,94.59%,0.57%,5.08%,0.33%,0.34%
Max Life,2018-19,0,0,9675,164.48,9675,164.48,9605,155.03,69,9.43,1,0.02,0,0,0,0,99.28%,94.26%,0.72%,5.74%,0.00%,0.00%
PNB Met Life,2018-19,6,0.76,1678,152.74,1684,153.5,1664,150.69,20,2.81,0,0,0,0,0,0,98.81%,98.17%,1.19%,1.83%,0.00%,0.00%
Pramerica Life,2018-19,29,3.47,78715,317.26,78744,320.72,78255,304.91,207,9.03,22,0.11,0,0,260,6.67,99.38%,95.07%,0.29%,2.85%,0.33%,2.08%
Reliance Nippon,2018-19,63,0.53,6434,44.31,6497,44.84,5608,40.76,8,1.42,876,2.46,1,0.06,4,0.14,86.32%,90.89%,13.61%,8.65%,0.06%,0.32%
Sahara Life,2018-19,1,0,5,0.01,6,0.02,6,0.02,0,0,0,0,0,0,0,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
SBI Life ,2018-19,28,1.13,37568,891.29,37596,892.42,37330,870.45,237,20.82,0,0,15,0.44,14,0.71,99.29%,97.54%,0.63%,2.33%,0.04%,0.08%
Shriram,2018-19,60,1.46,32314,201.34,32374,202.8,31622,193.29,670,5.8,51,2.07,0,0,31,1.64,97.68%,95.31%,2.23%,3.88%,0.10%,0.81%
Star Union,2018-19,3,0.06,5444,121.09,5447,121.15,5165,118.23,10,0.62,266,2.18,4,0.08,2,0.04,94.82%,97.59%,5.07%,2.31%,0.04%,0.03%
Tata AIA,2018-19,0,0,486,94.18,486,94.18,486,94.18,0,0,0,0,0,0,0,0,100.00%,100.00%,0.00%,0.00%,0.00%,0.00%
Private Total,2018-19,1062,41,610002,5272,611064,5313,604303,5093,2718,160,1639,17,24,1,2380,43,98.89%,95.86%,0.71%,3.33%,0.39%,0.81%
LIC ,2018-19,360,5.64,258618,4598.91,258978,4604.55,258149,4596.52,41,0.55,0,0,0,0,788,7.48,99.68%,99.83%,0.02%,0.01%,0.30%,0.16%
Industry Total,2018-19,1422,47,868620,9871,870042,9918,862452,9690,2759,160,1639,17,24,1,3168,50,99.13%,97.70%,0.51%,1.79%,0.36%,0.51%
